Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School,Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,CALPADS Unduplicated Pupil Count (UPC),CALPADS Fall 1 Certification Status (Y/N)
2018-2019,19,64733,0129270,Los Angeles,Los Angeles Unified,Animo Mae Jemison Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1624,Directly funded,Y,6,8,531,453,,,,,,,,
2018-2019,19,64733,0129460,Los Angeles,Los Angeles Unified,KIPP Vida Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1587,Directly funded,Y,K,4,554,470,,,,,,,,
2018-2019,19,64733,0129536,Los Angeles,Los Angeles Unified,Boyle Heights STEM High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,207,122,,,,,,,,
2018-2019,19,64733,0129585,Los Angeles,Los Angeles Unified,NAVA College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,733,669,,,,,,,,
2018-2019,19,64733,0129593,Los Angeles,Los Angeles Unified,PUC Inspire Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1626,Directly funded,Y,6,8,336,239,,,,,,,,
2018-2019,19,64733,0129619,Los Angeles,Los Angeles Unified,PUC Community Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1657,Directly funded,Y,K,5,313,201,,,,,,,,
2018-2019,19,64733,0129627,Los Angeles,Los Angeles Unified,TEACH Tech Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1658,Directly funded,Y,9,12,365,311,,,,,,,,
2018-2019,19,64733,0129650,Los Angeles,Los Angeles Unified,Equitas Academy #3 Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1669,Directly funded,Y,K,4,409,346,,,,,,,,
2018-2019,19,64733,0129825,Los Angeles,Los Angeles Unified,Clemente Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1640,Directly funded,Y,K,6,264,227,,,,,,,,
2018-2019,19,64733,0129833,Los Angeles,Los Angeles Unified,Global Education Academy 2,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1641,Directly funded,Y,K,5,154,130,,,,,,,,
2018-2019,19,64733,0129858,Los Angeles,Los Angeles Unified,Everest Value,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1638,Directly funded,Y,K,8,245,189,,,,,,,,
2018-2019,19,64733,0129866,Los Angeles,Los Angeles Unified,Village Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1639,Directly funded,Y,K,5,292,219,,,,,,,,
2018-2019,19,64733,0129874,Los Angeles,Los Angeles Unified,Community Preparatory Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1656,Directly funded,Y,K,8,330,256,,,,,,,,
2018-2019,19,64733,0130997,Los Angeles,Los Angeles Unified,Sylmar Biotech Health Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,267,263,,,,,,,,
2018-2019,19,64733,0131466,Los Angeles,Los Angeles Unified,Fenton STEM Academy: Elementary Center for Science Technology Engineering and Mathematics,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1605,Directly funded,Y,K,5,314,199,,,,,,,,
2018-2019,19,64733,0131722,Los Angeles,Los Angeles Unified,Fenton Charter Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1613,Directly funded,Y,K,5,326,213,,,,,,,,
2018-2019,19,64733,0131771,Los Angeles,Los Angeles Unified,KIPP Ignite Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1720,Directly funded,Y,K,4,436,364,,,,,,,,
2018-2019,19,64733,0131797,Los Angeles,Los Angeles Unified,KIPP Promesa Prep,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1721,Directly funded,Y,K,4,456,343,,,,,,,,
2018-2019,19,64733,0131821,Los Angeles,Los Angeles Unified,Collegiate Charter High of Los Angeles,Unified School District,High Schools (Public),Traditional,N/A,Yes,1722,Directly funded,Y,9,12,166,141,,,,,,,,
2018-2019,19,64733,0131839,Los Angeles,Los Angeles Unified,Summit Preparatory Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1615,Directly funded,Y,4,8,255,229,,,,,,,,
2018-2019,19,64733,0131847,Los Angeles,Los Angeles Unified,Public Policy Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1703,Directly funded,Y,5,8,104,97,,,,,,,,
2018-2019,19,64733,0131870,Los Angeles,Los Angeles Unified,Resolute Academy Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1642,Directly funded,Y,5,8,246,236,,,,,,,,
2018-2019,19,64733,0131904,Los Angeles,Los Angeles Unified,Libertas College Preparatory Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1711,Directly funded,Y,4,8,258,234,,,,,,,,
2018-2019,19,64733,0132027,Los Angeles,Los Angeles Unified,University Preparatory Value High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1723,Directly funded,Y,9,12,479,377,,,,,,,,
2018-2019,19,64733,0132084,Los Angeles,Los Angeles Unified,Alliance Marine - Innovation and Technology 6-12 Complex,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1738,Directly funded,Y,6,12,733,564,,,,,,,,
2018-2019,19,64733,0132126,Los Angeles,Los Angeles Unified,Bert Corona Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1724,Directly funded,Y,9,12,243,182,,,,,,,,
2018-2019,19,64733,0132282,Los Angeles,Los Angeles Unified,Ednovate - East College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1702,Directly funded,Y,9,12,361,271,,,,,,,,
2018-2019,19,64733,0133272,Los Angeles,Los Angeles Unified,PUC Triumph Charter Academy and PUC Triumph Charter High,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0797,Directly funded,Y,6,12,807,496,,,,,,,,
2018-2019,19,64733,0133280,Los Angeles,Los Angeles Unified,PUC Nueva Esperanza Charter Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1092,Directly funded,Y,6,12,358,236,,,,,,,,
2018-2019,19,64733,0133298,Los Angeles,Los Angeles Unified,PUC CALS Middle School and Early College High,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0331,Directly funded,Y,6,12,511,386,,,,,,,,
2018-2019,19,64733,0133603,Los Angeles,Los Angeles Unified,"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,480,166,,,,,,,,
2018-2019,19,64733,0133686,Los Angeles,Los Angeles Unified,Equitas Academy 4,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1785,Directly funded,Y,5,8,144,126,,,,,,,,
2018-2019,19,64733,0133694,Los Angeles,Los Angeles Unified,Valor Academy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1787,Directly funded,Y,K,4,311,205,,,,,,,,
2018-2019,19,64733,0133702,Los Angeles,Los Angeles Unified,New Los Angeles Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1788,Directly funded,Y,K,5,197,158,,,,,,,,
2018-2019,19,64733,0133710,Los Angeles,Los Angeles Unified,Girls Athletic Leadership School Los Angeles,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1791,Directly funded,Y,6,8,286,193,,,,,,,,
2018-2019,19,64733,0133736,Los Angeles,Los Angeles Unified,Science Academy STEM Magnet,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,271,55,,,,,,,,
2018-2019,19,64733,0133744,Los Angeles,Los Angeles Unified,Fourth Street Primary Center,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,1,247,197,,,,,,,,
2018-2019,19,64733,0133868,Los Angeles,Los Angeles Unified,Rise Kohyang High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1786,Directly funded,Y,9,12,288,230,,,,,,,,
2018-2019,19,64733,0133884,Los Angeles,Los Angeles Unified,California Collegiate Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1771,Directly funded,Y,6,10,274,253,,,,,,,,
2018-2019,19,64733,0134023,Los Angeles,Los Angeles Unified,Animo Florence-Firestone Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1794,Directly funded,Y,6,8,421,416,,,,,,,,
2018-2019,19,64733,0134148,Los Angeles,Los Angeles Unified,The City,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1710,Directly funded,Y,6,12,342,69,,,,,,,,
2018-2019,19,64733,0134205,Los Angeles,Los Angeles Unified,Arts in Action Community Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1806,Directly funded,Y,6,8,150,142,,,,,,,,
2018-2019,19,64733,0135509,Los Angeles,Los Angeles Unified,Gabriella Charter 2,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1853,Directly funded,Y,K,8,181,154,,,,,,,,
2018-2019,19,64733,0135517,Los Angeles,Los Angeles Unified,KIPP Corazon Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1855,Directly funded,Y,K,8,436,311,,,,,,,,
2018-2019,19,64733,0135616,Los Angeles,Los Angeles Unified,Crete Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1854,Directly funded,Y,K,6,169,136,,,,,,,,
2018-2019,19,64733,0135632,Los Angeles,Los Angeles Unified,WISH Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1863,Directly funded,Y,9,12,126,38,,,,,,,,
2018-2019,19,64733,0135681,Los Angeles,Los Angeles Unified,Horace Mann UCLA Community,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,12,432,333,,,,,,,,
2018-2019,19,64733,0135707,Los Angeles,Los Angeles Unified,Katherine Johnson STEM Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,159,77,,,,,,,,
2018-2019,19,64733,0135715,Los Angeles,Los Angeles Unified,Ednovate - Esperanza College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1842,Directly funded,Y,9,12,219,146,,,,,,,,
2018-2019,19,64733,0135723,Los Angeles,Los Angeles Unified,Ednovate - Brio College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1843,Directly funded,Y,9,12,189,139,,,,,,,,
2018-2019,19,64733,0135855,Los Angeles,Los Angeles Unified,Maywood Center for Enriched Studies,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,"1,361","1,132",,,,,,,,
2018-2019,19,64733,0135921,Los Angeles,Los Angeles Unified,WISH Community,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1627,Directly funded,Y,K,8,753,120,,,,,,,,
2018-2019,19,64733,0135996,Los Angeles,Los Angeles Unified,Boys Academic Leadership Academy,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,12,112,89,,,,,,,,
2018-2019,19,64733,0136986,Los Angeles,Los Angeles Unified,STEM Preparatory Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1925,Directly funded,Y,K,5,147,122,,,,,,,,
2018-2019,19,64733,0137083,Los Angeles,Los Angeles Unified,University Pathways Medical Magnet Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,68,52,,,,,,,,
2018-2019,19,64733,0137091,Los Angeles,Los Angeles Unified,University Pathways Public Service Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,113,91,,,,,,,,
2018-2019,19,64733,0137463,Los Angeles,Los Angeles Unified,Los Feliz Charter Middle School for the Arts,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1960,Directly funded,Y,6,8,30,14,,,,,,,,
2018-2019,19,64733,0137471,Los Angeles,Los Angeles Unified,High Tech LA Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1929,Directly funded,Y,6,8,59,24,,,,,,,,
2018-2019,19,64733,0137513,Los Angeles,Los Angeles Unified,Learning by Design Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1959,Directly funded,Y,K,5,45,35,,,,,,,,
2018-2019,19,64733,0137521,Los Angeles,Los Angeles Unified,Vox Collegiate of Los Angeles,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1917,Directly funded,Y,6,10,42,37,,,,,,,,
2018-2019,19,64733,0137554,Los Angeles,Los Angeles Unified,Excelencia Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1918,Directly funded,Y,K,5,59,51,,,,,,,,
2018-2019,19,64733,0137562,Los Angeles,Los Angeles Unified,Matrix for Success Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,1961,Directly funded,Y,9,12,26,25,,,,,,,,
2018-2019,19,64733,0137604,Los Angeles,Los Angeles Unified,Stella Elementary Charter Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1866,Directly funded,Y,K,4,37,28,,,,,,,,
2018-2019,19,64733,0137612,Los Angeles,Los Angeles Unified,Valley International Preparatory High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1926,Directly funded,Y,9,12,206,45,,,,,,,,
2018-2019,19,64733,0138305,Los Angeles,Los Angeles Unified,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,2004,Directly funded,Y,K,5,80,65,,,,,,,,
2018-2019,19,64733,1930064,Los Angeles,Los Angeles Unified,William Tell Aggeler Opportunity High,Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,7,12,92,67,,,,,,,,
2018-2019,19,64733,1930296,Los Angeles,Los Angeles Unified,Harris Newmark Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,146,138,,,,,,,,
2018-2019,19,64733,1930387,Los Angeles,Los Angeles Unified,Central High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,559,476,,,,,,,,
2018-2019,19,64733,1930403,Los Angeles,Los Angeles Unified,Whitney Young Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,55,41,,,,,,,,
2018-2019,19,64733,1930429,Los Angeles,Los Angeles Unified,View Park Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,64,51,,,,,,,,
2018-2019,19,64733,1930486,Los Angeles,Los Angeles Unified,Moneta Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,43,35,,,,,,,,
2018-2019,19,64733,1930551,Los Angeles,Los Angeles Unified,San Antonio Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,161,150,,,,,,,,
2018-2019,19,64733,1930577,Los Angeles,Los Angeles Unified,Pueblo de Los Angeles Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,71,63,,,,,,,,
2018-2019,19,64733,1930619,Los Angeles,Los Angeles Unified,Harold McAlister High (Opportunity),Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,6,12,124,116,,,,,,,,
2018-2019,19,64733,1930650,Los Angeles,Los Angeles Unified,Phineas Banning Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,478","2,055",,,,,,,,
2018-2019,19,64733,1930692,Los Angeles,Los Angeles Unified,Thomas Riley High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,63,60,,,,,,,,
2018-2019,19,64733,1930734,Los Angeles,Los Angeles Unified,Angel's Gate (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,80,56,,,,,,,,
2018-2019,19,64733,1930783,Los Angeles,Los Angeles Unified,Phoenix Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,55,34,,,,,,,,
2018-2019,19,64733,1930791,Los Angeles,Los Angeles Unified,Mt. Lukens Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,47,30,,,,,,,,
2018-2019,19,64733,1930866,Los Angeles,Los Angeles Unified,Bell Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,395","2,032",,,,,,,,
2018-2019,19,64733,1930924,Los Angeles,Los Angeles Unified,Belmont Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,860,757,,,,,,,,
2018-2019,19,64733,1930940,Los Angeles,Los Angeles Unified,John R. Wooden High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,99,89,,,,,,,,
2018-2019,19,64733,1930973,Los Angeles,Los Angeles Unified,Simon Rodia Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,190,170,,,,,,,,
2018-2019,19,64733,1931047,Los Angeles,Los Angeles Unified,Birmingham Community Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1119,Directly funded,Y,9,12,"3,165","2,254",,,,,,,,
2018-2019,19,64733,1931054,Los Angeles,Los Angeles Unified,Westside Global Awareness Magnet,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,396,285,,,,,,,,
2018-2019,19,64733,1931070,Los Angeles,Los Angeles Unified,Mid-City's Prescott School of Enriched Sciences,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,241,159,,,,,,,,
2018-2019,19,64733,1931336,Los Angeles,Los Angeles Unified,Cheviot Hills Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,82,51,,,,,,,,
2018-2019,19,64733,1931377,Los Angeles,Los Angeles Unified,Amelia Earhart Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,55,43,,,,,,,,
2018-2019,19,64733,1931385,Los Angeles,Los Angeles Unified,Albert Einstein Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,66,64,,,,,,,,
2018-2019,19,64733,1931393,Los Angeles,Los Angeles Unified,Highland Park Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,66,58,,,,,,,,
2018-2019,19,64733,1931435,Los Angeles,Los Angeles Unified,Robert H. Lewis Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,81,64,,,,,,,,
2018-2019,19,64733,1931450,Los Angeles,Los Angeles Unified,Jack London Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,120,116,,,,,,,,
2018-2019,19,64733,1931468,Los Angeles,Los Angeles Unified,Metropolitan Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,58,54,,,,,,,,
2018-2019,19,64733,1931476,Los Angeles,Los Angeles Unified,Canoga Park Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,439","1,183",,,,,,,,
2018-2019,19,64733,1931484,Los Angeles,Los Angeles Unified,Mission Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,77,67,,,,,,,,
2018-2019,19,64733,1931500,Los Angeles,Los Angeles Unified,Owensmouth Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,106,95,,,,,,,,
2018-2019,19,64733,1931518,Los Angeles,Los Angeles Unified,George S. Patton Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,69,48,,,,,,,,
2018-2019,19,64733,1931526,Los Angeles,Los Angeles Unified,Carson Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,499",906,,,,,,,,
2018-2019,19,64733,1931534,Los Angeles,Los Angeles Unified,Will Rogers Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,162,154,,,,,,,,
2018-2019,19,64733,1931559,Los Angeles,Los Angeles Unified,Stoney Point Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,91,74,,,,,,,,
2018-2019,19,64733,1931633,Los Angeles,Los Angeles Unified,Diane S. Leichman Career Preparatory and Transition Center,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,6,12,210,126,,,,,,,,
2018-2019,19,64733,1931658,Los Angeles,Los Angeles Unified,Frank Lanterman,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,6,12,26,23,,,,,,,,
2018-2019,19,64733,1931682,Los Angeles,Los Angeles Unified,Zane Grey Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,99,86,,,,,,,,
2018-2019,19,64733,1931690,Los Angeles,Los Angeles Unified,Independence Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,112,77,,,,,,,,
2018-2019,19,64733,1931708,Los Angeles,Los Angeles Unified,Chatsworth Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1581,Locally funded,N,9,12,"1,758","1,015",,,,,,,,
2018-2019,19,64733,1931716,Los Angeles,Los Angeles Unified,Lake Balboa College Preparatory Magnet K-12,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,582,389,,,,,,,,
2018-2019,19,64733,1931856,Los Angeles,Los Angeles Unified,Whitman Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,70,40,,,,,,,,
2018-2019,19,64733,1931864,Los Angeles,Los Angeles Unified,Grover Cleveland Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1571,Locally funded,N,9,12,"3,115","1,812",,,,,,,,
2018-2019,19,64733,1931930,Los Angeles,Los Angeles Unified,Avalon High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,82,72,,,,,,,,
2018-2019,19,64733,1931955,Los Angeles,Los Angeles Unified,Ellington (Duke) High (Continuation),Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,74,67,,,,,,,,
2018-2019,19,64733,1931971,Los Angeles,Los Angeles Unified,John Hope Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,76,75,,,,,,,,
2018-2019,19,64733,1931989,Los Angeles,Los Angeles Unified,Monterey Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,59,51,,,,,,,,
2018-2019,19,64733,1931997,Los Angeles,Los Angeles Unified,Odyssey Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,84,64,,,,,,,,
2018-2019,19,64733,1932128,Los Angeles,Los Angeles Unified,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,750,583,,,,,,,,
2018-2019,19,64733,1932250,Los Angeles,Los Angeles Unified,Henry David Thoreau Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,99,85,,,,,,,,
2018-2019,19,64733,1932318,Los Angeles,Los Angeles Unified,Eagle Tree Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,69,47,,,,,,,,
2018-2019,19,64733,1932334,Los Angeles,Los Angeles Unified,Jane Addams Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,127,90,,,,,,,,
2018-2019,19,64733,1932342,Los Angeles,Los Angeles Unified,Evergreen Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,73,60,,,,,,,,
2018-2019,19,64733,1932383,Los Angeles,Los Angeles Unified,Susan Miller Dorsey Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,892,647,,,,,,,,
2018-2019,19,64733,1932391,Los Angeles,Los Angeles Unified,West Hollywood Opportunity,Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,7,12,29,25,,,,,,,,
2018-2019,19,64733,1932540,Los Angeles,Los Angeles Unified,Eagle Rock High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,"2,291","1,010",,,,,,,,
2018-2019,19,64733,1932623,Los Angeles,Los Angeles Unified,El Camino Real Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1314,Directly funded,Y,9,12,"3,562","1,006",,,,,,,,
2018-2019,19,64733,1932821,Los Angeles,Los Angeles Unified,Boyle Heights Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,70,63,,,,,,,,
2018-2019,19,64733,1932847,Los Angeles,Los Angeles Unified,Los Angeles Center for Enriched Studies,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,6,12,"1,670",709,,,,,,,,
2018-2019,19,64733,1932888,Los Angeles,Los Angeles Unified,Downtown Business High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,"1,037",739,,,,,,,,
2018-2019,19,64733,1932896,Los Angeles,Los Angeles Unified,Arroyo Seco Museum Science,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,K,8,555,372,,,,,,,,
2018-2019,19,64733,1932920,Los Angeles,Los Angeles Unified,Fairfax Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,827","1,259",,,,,,,,
2018-2019,19,64733,1932987,Los Angeles,Los Angeles Unified,John H. Francis Polytechnic,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,639","2,099",,,,,,,,
2018-2019,19,64733,1933001,Los Angeles,Los Angeles Unified,King/Drew Medical Magnet High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,"1,567","1,214",,,,,,,,
2018-2019,19,64733,1933043,Los Angeles,Los Angeles Unified,Benjamin Franklin Senior High,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,12,"1,422","1,178",,,,,,,,
2018-2019,19,64733,1933118,Los Angeles,Los Angeles Unified,John C. Fremont Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,980","1,821",,,,,,,,
2018-2019,19,64733,1933233,Los Angeles,Los Angeles Unified,Sherman Oaks Center for Enriched Studies,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,4,12,"2,087",896,,,,,,,,
2018-2019,19,64733,1933241,Los Angeles,Los Angeles Unified,Gardena Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,363","1,030",,,,,,,,
2018-2019,19,64733,1933381,Los Angeles,Los Angeles Unified,James A. Garfield Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"2,569","2,176",,,,,,,,
2018-2019,19,64733,1933746,Los Angeles,Los Angeles Unified,Granada Hills Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0572,Directly funded,Y,9,12,"4,698","1,877",,,,,,,,
