state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,participating_in_cep,claiming_isp,total_enrolled,total_eligible
oh,049130,Scioto Valley,00029991,Piketon Jr/Sr High School,38.65%,,42.58%,Y,533,206
oh,049130,Scioto Valley,00017897,Jasper Elementary School,49.23%,,42.58%,Y,522,257
oh,049155,Western Local SD,00040667,Western High School,53.67%,,49.94%,Y,313,168
oh,049155,Western Local SD,00029157,Western Elementary School,58.18%,,49.94%,Y,440,256
oh,049502,Huntington Local SD,00017160,Huntington High School,42.00%,,42.00%,Y,1038,436
oh,049510,Paint Valley,00037689,Paint Valley Elementary School,48.98%,,43.30%,Y,882,432
oh,049635,Northwest Local SD,00120279,Northwest Elementary School,50.43%,,50.43%,Y,696,351
oh,049650,Washington-Nile Local SD,00125781,Portsmouth West Middle School,45.22%,,50.83%,Y,471,213
oh,049650,Washington-Nile Local SD,00125773,Portsmouth West Elementary School,55.14%,,50.83%,Y,613,338
oh,049833,Canton Local School District,00043430,Faircrest Memorial Middle School,41.49%,,40.50%,Y,576,239
oh,049833,Canton Local School District,00061804,Walker Elementary School,44.35%,,40.50%,Y,699,310
oh,049932,Plain Local School District,00086983,Child and Adolescent Behavioral Health,70.00%,,62.50%,Y,30,21
oh,050393,Vinton County Local,00038471,Vinton County High School,47.23%,,57.90%,Y,578,273
oh,050393,Vinton County Local,00111526,Vinton County Middle School,55.43%,,57.90%,Y,460,255
oh,050393,Vinton County Local,00000455,West Elementary School,59.13%,,57.90%,Y,345,204
oh,050393,Vinton County Local,00014878,South Elementary School,72.29%,,57.90%,Y,314,227
oh,050393,Vinton County Local,00023374,Central Elementary School,63.99%,,57.90%,Y,386,247
oh,050435,Kings Local SD,00021170,Lockland Elementary School,52.39%,,55.31%,Y,544,285
oh,050666,Wood County Educational Service Center,00000161,Wood County Alternative School,33.33%,,60.66%,Y,12,4
oh,050666,Wood County Educational Service Center,20058664,Wood County ESC Pathe,50.00%,,60.66%,Y,6,3
oh,050666,Wood County Educational Service Center,00050666,Wood,67.44%,,60.66%,Y,43,29
oh,051185,Lawrence County,00051193,Lawrence County,40.11%,,50.78%,Y,531,213
oh,051490,Scioto County Career Technical Center,00033795,Scioto County,51.33%,,43.76%,Y,450,231
oh,051607,Tri-County Career Center,00037507,Tri-County Career Center,40.41%,,42.95%,Y,443,179
oh,052522,Cleveland Catholic Diocese,00055822,Mary Queen of Peace School,50.31%,,61.58%,Y,318,160
oh,052522,Cleveland Catholic Diocese,00056036,Archbishop Lyke-St Henry Campus,49.08%,,61.58%,Y,163,80
oh,052522,Cleveland Catholic Diocese,00056069,St Jerome,53.75%,,61.58%,Y,240,129
oh,052522,Cleveland Catholic Diocese,00056275,Metro Catholic Parish,55.58%,,61.58%,Y,493,274
oh,052522,Cleveland Catholic Diocese,00056283,St Thomas Aquinas,64.44%,,61.58%,Y,180,116
oh,052522,Cleveland Catholic Diocese,00055749,Holy Name,67.43%,,61.58%,Y,175,118
oh,052522,Cleveland Catholic Diocese,00055913,St Adalbert Elementary,67.23%,,61.58%,Y,412,277
oh,052522,Cleveland Catholic Diocese,00055947,St Agatha-St Aloysius,63.86%,,61.58%,Y,166,106
oh,052522,Cleveland Catholic Diocese,00056010,St Francis,67.15%,,61.58%,Y,207,139
oh,052522,Cleveland Catholic Diocese,00056242,St Rocco,55.70%,,61.58%,Y,158,88
oh,052522,Cleveland Catholic Diocese,00056267,St Stanislaus,63.78%,,61.58%,Y,185,118
oh,052522,Cleveland Catholic Diocese,00056994,St Anthony Of Padua (Akron),54.94%,,61.58%,Y,162,89
